j,weight_scheme,mean_r,std_r,mean_mae,std_mae,n_folds
20,unweighted,0.6957571576114815,0.09188502898259929,0.08635953058722651,0.03360992066360422,11
20,population,0.6615095593817242,0.10110127541029554,0.09377357485794038,0.036305754595156906,11
20,log_population,0.7013911427903275,0.1096663254961736,0.08559020607981191,0.03284871518020899,11
43,unweighted,0.7791732033307287,0.08258464487709646,0.07474967643583293,0.030121844931854703,11
43,population,0.7422837678100194,0.0972545646150286,0.07887889684794538,0.030207419049721535,11
43,log_population,0.7713131819146993,0.08627934895734321,0.07479241768114228,0.02849725553639786,11
