j,mean_r,std_r,mean_mae,std_mae,coherence,n_folds
12,0.6445608198663944,0.10463029697052,0.0933404381179913,0.0354383565145612,0.7397973760766953,11
13,0.6592661006860746,0.1060492582389567,0.0917087044755879,0.0348157341393032,0.7518123442909516,11
14,0.6500751833300517,0.1037649666688034,0.0924250603156062,0.0348214120772576,0.7588046748906796,11
15,0.6636992226731518,0.0992954371493514,0.0921163949105814,0.0358275963483518,0.7699235160726043,11
16,0.6698561139009908,0.0972609306037489,0.0908302561077012,0.0356107183208686,0.7710697852736739,11
17,0.6652328717427306,0.1037402853015987,0.0904641578375168,0.034252541370728,0.7716523765629809,11
18,0.676788027829825,0.09434859838392,0.0894566152106734,0.0343836473675868,0.7708080463549305,11
19,0.6832680080422673,0.0994437600342714,0.0880641758581542,0.0330346891261758,0.7778018927476191,11
20,0.6957571576114815,0.0918850289825992,0.0863595305872265,0.0336099206636042,0.7920929081425884,11
21,0.6911829331424405,0.0984346673361842,0.087382614615246,0.0327006564386732,0.7894970217005798,11
22,0.7041508848225161,0.0967446607176415,0.0860213395831075,0.0315680267989511,0.7877013200529802,11
23,0.7209805918115144,0.093678822498968,0.0836839890568487,0.03334620198216,0.7984646544926398,11
24,0.7158041035566133,0.092759060020301,0.0835638878191119,0.0324780712906141,0.791653798133832,11
25,0.7157360597764424,0.0952802796369381,0.0839454746398248,0.0328544828666938,0.8069919068939579,11
26,0.7289009586352466,0.0964439297769951,0.0821016532314873,0.0325446147209725,0.8070956458225089,11
27,0.7232075979087083,0.1005055334288456,0.0817956214485635,0.0316314080801221,0.8076573401967321,11
28,0.72469748410013,0.09959898813037,0.0825980873027184,0.0324132699949645,0.8147560314087376,11
29,0.7373997323217278,0.0912623108226473,0.0801732499949639,0.0323498463877438,0.8170629421680726,11
30,0.7392742522533073,0.0938880349504067,0.0799363453510483,0.0308181314213036,0.8050057528582216,11
31,0.7393116824704566,0.09732135819727741,0.08007917050380911,0.03139805717307139,0.8162565253890376,11
32,0.7354801760247238,0.09636256349669875,0.07942879993202091,0.029446029864884288,0.8155182620647558,11
33,0.7407936135204384,0.09543178607766475,0.07944089852383213,0.030082462861311943,0.8177955079417578,11
34,0.7454151433536219,0.08633368120926571,0.07898018258253083,0.03170884950360984,0.8246097493558477,11
35,0.7428350222574163,0.09331171351600724,0.07901710956586305,0.02998182647261946,0.8296599991171082,11
36,0.7465451232690458,0.09538913259769917,0.07824641068536145,0.03051788239528276,0.8233078152050987,11
37,0.7572074747123718,0.0909592148221407,0.07742248281156167,0.03067781968472806,0.8278552631548163,11
38,0.7617103450198766,0.09081353848281903,0.07667287305942729,0.03054050439385521,0.8284268010654104,11
39,0.768664380633496,0.08446633252723522,0.07543618568544087,0.028621911507290678,0.8285373010979508,11
40,0.7548482117843364,0.09627091520340367,0.0765160598109386,0.029943775691191846,0.82888723194098,11
41,0.7689541532311185,0.08558276838321859,0.07510961089789378,0.02930911229187521,0.8288449271783579,11
42,0.7723445739992738,0.08233083406999908,0.07454942000904656,0.029946094336355398,0.8350295759428396,11
43,0.7791732033307287,0.08258464487709646,0.07474967643583293,0.030121844931854703,0.8377364296186012,11
44,0.7744402941119705,0.09164726143897325,0.07357671215360125,0.02824482461997887,0.8362958208590133,11
45,0.7770865595855043,0.08554877489465983,0.07299478987639679,0.027700128085595705,0.8417410598019491,11
46,0.776968953281611,0.07796988376416644,0.07373728098607972,0.028740893774340377,0.8412861163580719,11
47,0.778993201250124,0.08436760337622969,0.0730622467171786,0.029384630877739876,0.8452179792509337,11
48,0.7775236623743083,0.07775277355102832,0.0739565613092454,0.028444434818770507,0.8417829083311753,11
49,0.7860364195462908,0.07861994896208772,0.07124484953140237,0.02758392117181631,0.8405061865850415,11
50,0.7845434310032288,0.08307072598842866,0.07193767996495361,0.027870095824816563,0.8457406521115745,11
