scheme,mean_r,std_r,mean_mae,std_mae,n_folds,n_active_dims
equal,0.7791732033307287,0.08258464487709646,0.07474967643583293,0.030121844931854703,11,33
linear,0.7716226494148892,0.09166755713913444,0.04306236074695649,0.020504866811413586,11,33
step_2016,0.1975058091193068,0.32282928979870135,0.02290714181000324,0.04124342745142423,11,9
exponential_hl4,0.7727263010235478,0.08932507872530245,0.02841855742826289,0.01343126354089375,11,33
exponential_hl8,0.766663337426595,0.09593790235305943,0.04557993005151866,0.018471675251531636,11,33
exponential_hl12,0.7768023230451856,0.08577350064044054,0.05318804500386001,0.0217440840499083,11,33
